bgc_id	compound	tax_id	strain	species	genus	family	order	class	phylum	clade	superkingdom	species group	section	suborder	subclass	subphylum	subkingdom	kingdom	subgenus	subspecies	species subgroup	subfamily	varietas	serotype	tribe	subtribe
BGC0001480	tundrenone	1408450	Methylobacter tundripaludum 21/22	Methylobacter tundripaludum	Methylobacter	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria		Bacteria															
BGC0001481	α-acorenol	1279085	Fusarium fujikuroi IMI 58289	Fusarium fujikuroi	Fusarium	Nectriaceae	Hypocreales	Sordariomycetes	Ascomycota	Opisthokonta	Eukaryota	Fusarium fujikuroi species complex			Hypocreomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0001484	2'-chloropentostatin	1676613		Actinomadura sp. ATCC 39365	Actinomadura	Thermomonosporaceae	Streptosporangiales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001486	3-thiaglutamate	629265	Pseudomonas syringae pv. maculicola str. ES4326	Pseudomonas syringae group genomosp. 3	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria	Pseudomonas syringae group														
BGC0001487	3,7-dihydroxytropolone	66883		Streptomyces cyaneofuscatus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria	Streptomyces griseus group														
BGC0001488	4-formylaminooxyvinylglycine	746360	Pseudomonas fluorescens WH6	Pseudomonas fluorescens	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria	Pseudomonas fluorescens group														
BGC0001489	6-hydroxymellein	180999		Cladonia uncialis	Cladonia	Cladoniaceae	Lecanorales	Lecanoromycetes	Ascomycota	Opisthokonta	Eukaryota			Lecanorineae	Lecanoromycetidae	Pezizomycotina	Dikarya	Fungi		Cladonia uncialis subsp. uncialis						
BGC0001491	67-121C	56427		Couchioplanes caeruleus	Couchioplanes	Micromonosporaceae	Micromonosporales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria									Couchioplanes caeruleus subsp. caeruleus						
BGC0001492	abyssomicin M	1676287		Streptomyces sp. LC-6-2	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001493	achromosin	67256		Streptomyces achromogenes	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria									Streptomyces achromogenes subsp. achromogenes						
BGC0001494	acinetodin	1217657	Acinetobacter gyllenbergii CIP 110306 = MTCC 11365	Acinetobacter gyllenbergii	Acinetobacter	Moraxellaceae	Moraxellales	Gammaproteobacteria	Proteobacteria		Bacteria															
BGC0001495	actinoallolide A	478108		Actinoallomurus fulvus	Actinoallomurus	Thermomonosporaceae	Streptosporangiales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001496	actinokineosin	909613		Actinokineospora spheciospongiae	Actinokineospora	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001498	aerobactin	1427518	Xenorhabdus szentirmaii DSM 16338	Xenorhabdus szentirmaii	Xenorhabdus	Morganellaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria															
BGC0001499	aerobactin	553		Pantoea ananatis	Pantoea	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria		Bacteria															
BGC0001500	allocyclinone	1820605		Actinoallomurus sp. ID145698	Actinoallomurus	Thermomonosporaceae	Streptosporangiales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001501	ambiguine P	1930928		Fischerella sp. TAU	Fischerella	Hapalosiphonaceae	Nostocales		Cyanobacteria	Terrabacteria group	Bacteria															
BGC0001502	amonabactin P 750	380703	Aeromonas hydrophila subsp. hydrophila ATCC 7966	Aeromonas hydrophila	Aeromonas	Aeromonadaceae	Aeromonadales	Gammaproteobacteria	Proteobacteria		Bacteria									Aeromonas hydrophila subsp. hydrophila						
BGC0001503	amycolamycin A	37632		Amycolatopsis sp.	Amycolatopsis	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001504	amycomicin	1896961		Amycolatopsis sp. AA4	Amycolatopsis	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001505	anacyclamide D8P	1380707		Sphaerospermopsis sp. LEGE 00249	Sphaerospermopsis	Aphanizomenonaceae	Nostocales		Cyanobacteria	Terrabacteria group	Bacteria															
BGC0001506	anantin B1	1463884		Streptomyces sp. NRRL S-146	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001507	anantin C	358823		Streptomyces olindensis	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001508	andrastin A	5082		Penicillium roqueforti	Penicillium	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0001509	anikasin	294		Pseudomonas fluorescens	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria		Bacteria	Pseudomonas fluorescens group														
BGC0001510	anisomycin	516360		Streptomyces hygrospinosus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001511	ansamitocin P-3	103721		Actinosynnema pretiosum	Actinosynnema	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria									Actinosynnema pretiosum subsp. pretiosum						
BGC0001512	BE-24566B	1931		Streptomyces sp.	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001513	anthrabenzoxocinone	1883427		Actinomycetia bacterium				Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001514	aristeromycin	212427		Streptomyces citricolor	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001515	aspercryptins	227321	Aspergillus nidulans FGSC A4	Aspergillus nidulans	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi	Aspergillus subgen. Nidulantes							
BGC0001516	aspergillic acid	332952	Aspergillus flavus NRRL3357	Aspergillus flavus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi	Aspergillus subgen. Circumdati							
BGC0001517	asperphenamate	341663	Aspergillus terreus NIH2624	Aspergillus terreus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi	Aspergillus subgen. Circumdati							
BGC0001518	astellolide A	510516	Aspergillus oryzae RIB40	Aspergillus oryzae	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota	Opisthokonta	Eukaryota				Eurotiomycetidae	Pezizomycotina	Dikarya	Fungi	Aspergillus subgen. Circumdati							
BGC0001519	aurantimycin A	1286094	Streptomyces aurantiacus JA 4570	Streptomyces aurantiacus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria	Streptomyces aurantiacus group														
BGC0001520	aurantinin B	1423		Bacillus subtilis	Bacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Terrabacteria group	Bacteria	Bacillus subtilis group														
BGC0001521	auriculamide	316274	Herpetosiphon aurantiacus DSM 785	Herpetosiphon aurantiacus	Herpetosiphon	Herpetosiphonaceae	Herpetosiphonales	Chloroflexia	Chloroflexi	Terrabacteria group	Bacteria															
BGC0001522	auroramycin	67294		Streptomyces filamentosus	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001523	azalomycin F3a	686293		Streptomyces sp. 211726	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001524	barnesin A	760154	Sulfurospirillum barnesii SES-3	Sulfurospirillum barnesii	Sulfurospirillum	Sulfurospirillaceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria		Bacteria					delta/epsilon subdivisions										
BGC0001525	bartoloside 2	945782	Synechocystis salina LEGE 06155	Synechocystis salina	Synechocystis	Merismopediaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria															
BGC0001526	bartolosides E	945781	Synechocystis salina LEGE 06099	Synechocystis salina	Synechocystis	Merismopediaceae	Synechococcales		Cyanobacteria	Terrabacteria group	Bacteria															
BGC0001527	basidioferrin	42742		Gelatoporia subvermispora	Gelatoporia	Gelatoporiaceae	Polyporales	Agaricomycetes	Basidiomycota	Opisthokonta	Eukaryota					Agaricomycotina	Dikarya	Fungi								
BGC0001528	betaestacin	137527		Neocamarosporium betae	Neocamarosporium	Pleosporaceae	Pleosporales	Dothideomycetes	Ascomycota	Opisthokonta	Eukaryota			Pleosporineae	Pleosporomycetidae	Pezizomycotina	Dikarya	Fungi								
BGC0001529	bezastatin derivates	1894972		Streptomyces sp. RI18	Streptomyces	Streptomycetaceae	Streptomycetales	Actinomycetia	Actinobacteria	Terrabacteria group	Bacteria															
BGC0001531	bisucaberin B	104268		Tenacibaculum mesophilum	Tenacibaculum	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota	FCB group	Bacteria															
