bgc_id	compound	tax_id	strain	species	genus	family	order	class	phylum	kingdom	domain	cellular root	subclass	clade	subspecies	suborder	species group	species subgroup	varietas	serotype	subphylum	subkingdom	subfamily	isolate	subgenus	realm	acellular root	tribe	subtribe
BGC0001950	puwainaphycin F	1382638	Cylindrospermum moravicum CCALA 993	Cylindrospermum moravicum	Cylindrospermum	Nostocaceae	Nostocales	Cyanophyceae	Cyanobacteriota	Bacillati	Bacteria	cellular organisms		Cyanobacteriota/Melainabacteria group															
BGC0001951	puwainaphycin F	1382619	Cylindrospermum alatosporum CCALA 994	Cylindrospermum alatosporum	Cylindrospermum	Nostocaceae	Nostocales	Cyanophyceae	Cyanobacteriota	Bacillati	Bacteria	cellular organisms		Cyanobacteriota/Melainabacteria group															
BGC0001952	minutissamide A	2303153	Anabaena minutissima UTEX B 1613	Anabaena minutissima	Anabaena	Nostocaceae	Nostocales	Cyanophyceae	Cyanobacteriota	Bacillati	Bacteria	cellular organisms		Cyanobacteriota/Melainabacteria group															
BGC0001953	puwainaphycin F	2303154		Anabaena sp. UHCC-0399	Anabaena	Nostocaceae	Nostocales	Cyanophyceae	Cyanobacteriota	Bacillati	Bacteria	cellular organisms		Cyanobacteriota/Melainabacteria group															
BGC0001955	keratinimicin A	129921		Amycolatopsis keratiniphila	Amycolatopsis	Pseudonocardiaceae	Pseudonocardiales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms					Amycolatopsis japonica group												
BGC0001956	miharamycin A	285483		Streptomyces miharaensis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0001957	amipurimycin	2586640		Streptomyces novoguineensis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0001959	taylorflavin A	66424		Streptomyces hiroshimensis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0001960	hiroshidine	66424		Streptomyces hiroshimensis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0001962	hierridin B	1297573		Cyanobium sp. LEGE 06113	Cyanobium	Prochlorococcaceae	Synechococcales	Cyanophyceae	Cyanobacteriota	Bacillati	Bacteria	cellular organisms		Cyanobacteriota/Melainabacteria group															
BGC0001963	catenulisporolide A	1962977		Catenulispora sp.	Catenulispora	Catenulisporaceae	Catenulisporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0001964	alkylpyrone-407	1934914		Cystobacterineae bacterium			Myxococcales	Myxococcia	Myxococcota	Pseudomonadati	Bacteria	cellular organisms				Cystobacterineae													
BGC0001965	nybomycin	337066		Streptomyces albus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms			Streptomyces albus subsp. chlorinus														
BGC0001967	acyldepsipeptide 1	67305		Streptomyces hawaiiensis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0001968	cadaside A	77133		uncultured bacterium							Bacteria	cellular organisms																	
BGC0001970	malyngamide C acetate	1458930		Okeania hirsuta	Okeania	Microcoleaceae	Oscillatoriales	Cyanophyceae	Cyanobacteriota	Bacillati	Bacteria	cellular organisms	Oscillatoriophycideae	Cyanobacteriota/Melainabacteria group															
BGC0001971	malyngamide I	1458930		Okeania hirsuta	Okeania	Microcoleaceae	Oscillatoriales	Cyanophyceae	Cyanobacteriota	Bacillati	Bacteria	cellular organisms	Oscillatoriophycideae	Cyanobacteriota/Melainabacteria group															
BGC0001972	toxoflavin	66424		Streptomyces hiroshimensis	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0001975	atratumycin	1893		Streptomyces atratus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0001979	LL-D49194α1 (LLD)	67376		Streptomyces vinaceusdrappus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms					Streptomyces rochei group												
BGC0001980	lokisin	306		Pseudomonas sp.	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	cellular organisms																	
BGC0001983	triacsin C	1894		Kitasatospora aureofaciens	Kitasatospora	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0001984	sarpeptin A	1931		Streptomyces sp.	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0001985	Pyrazofurin	67283		Streptomyces candidus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0001986	purincyclamide	68185		Streptomyces chrestomyceticus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0001987	koreenceine A	198620		Pseudomonas koreensis	Pseudomonas	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	cellular organisms					Pseudomonas fluorescens group												
BGC0001991	toblerol A	272630	Methylorubrum extorquens AM1	Methylorubrum extorquens	Methylorubrum	Methylobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	cellular organisms																	
BGC0001992	thioguanine	665029	Erwinia amylovora CFBP1430	Erwinia amylovora	Erwinia	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	cellular organisms																	
BGC0001994	β-ethynylserine	1003195	Streptantibioticus cattleyicolor NRRL 8057 = DSM 46488	Streptantibioticus cattleyicolor	Streptantibioticus	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms																	
BGC0001999	gramibactin	396598	Paraburkholderia graminis C4D1M	Paraburkholderia graminis	Paraburkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	cellular organisms																	
BGC0002000	setomimycin	1286094	Streptomyces aurantiacus JA 4570	Streptomyces aurantiacus	Streptomyces	Streptomycetaceae	Kitasatosporales	Actinomycetes	Actinomycetota	Bacillati	Bacteria	cellular organisms					Streptomyces aurantiacus group												
BGC0002001	crochelin A	1328314	Azotobacter chroococcum NCIMB 8003	Azotobacter chroococcum	Azotobacter	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	cellular organisms											Azotobacter group						
BGC0002002	1,6-phenazinedimethanol	47917		Serratia fonticola	Serratia	Yersiniaceae	Enterobacterales	Gammaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	cellular organisms																	
BGC0002004	methanobactin	595536	Methylosinus trichosporium OB3b	Methylosinus trichosporium	Methylosinus	Methylocystaceae	Hyphomicrobiales	Alphaproteobacteria	Pseudomonadota	Pseudomonadati	Bacteria	cellular organisms																	
